text,category,priority
My company laptop will not turn on,Hardware,High
Employees keep losing network connectivity in the finance department,Network,Medium
Suspicious activity was detected on my company account account,Security,High
Urgent issue: malware has infected systems connected to employee portal,Security,Critical
accounting software stops responding after a few minutes,Software,Medium
Support needed: i am unable to authenticate to Microsoft 365,Account Access,Medium
I need assistance because eRP system crashes whenever I open it,Software,Medium
Administrator credentials for Microsoft 365 have been compromised,Security,Critical
A security breach exposed confidential data in company account,Security,Critical
The backend service is unavailable for many users,Infrastructure,High
A suspicious attachment was sent to my admin dashboard account,Security,Medium
Please help. i received a suspicious email related to cloud account,Security,Medium
Please help. i need help resetting my password for cloud account,Account Access,Low
The mouse connected to my company laptop is not responding correctly,Hardware,Low
The internal portal is experiencing a serious service disruption,Infrastructure,High
Urgent issue: network performance is inconsistent in the meeting area,Network,Low
The entire production environment for database server has gone offline,Infrastructure,Critical
I need assistance because the production backend service is down across the organization,Infrastructure,Critical
Support needed: employees in the branch office cannot connect to the company VPN,Network,High
Please help. company application installation fails on my computer,Software,Low
Support needed: i received a phishing message asking for my company email password,Security,High
Please help. many employees cannot access the production environment,Infrastructure,High
Please help. the internal portal is responding slowly to requests,Infrastructure,Medium
The network connection keeps dropping in the engineering floor,Network,Medium
I need assistance because i need billing details for company purchase,Billing,Low
The production internal portal is down across the organization,Infrastructure,Critical
Support needed: i urgently need access to Microsoft 365 for business operations,Account Access,High
I urgently need access to cloud account for business operations,Account Access,High
CRM application crashes when I try to open a file,Software,Medium
Urgent issue: my office computer overheats and shuts down occasionally,Hardware,Medium
A suspicious attachment was sent to my company account account,Security,Medium
My office computer is making a strange noise,Hardware,Low
The branch office cannot connect to the corporate network,Network,High
The production production server is down across the organization,Infrastructure,Critical
My refund for service plan has not arrived,Billing,Medium
ERP system crashes continuously for several employees,Software,High
My laptop shuts down immediately after startup,Hardware,High
I was billed twice for the same software license,Billing,High
The production customer platform is down across the organization,Infrastructure,Critical
Money was taken even though the software license transaction failed,Billing,High
Please help. the monitor connected to my office computer keeps disconnecting,Hardware,Medium
Support needed: the production production environment is down across the organization,Infrastructure,Critical
The entire finance department has lost network connectivity,Network,High
I cannot access my HR portal account after several attempts,Account Access,Medium
I received an unexpected security alert from company account,Security,Medium
Network performance is inconsistent in the finance department,Network,Low
I cannot remember my cloud account password,Account Access,Low
I was charged the wrong price for service plan,Billing,Medium
Network access is completely unavailable in the main office,Network,High
Please explain a charge for support plan,Billing,Low
Please help. the web application keeps crashing during business hours,Infrastructure,High
The entire cloud platform is offline and nobody can use it,Infrastructure,Critical
Please help. an important feature in CRM application has completely stopped working,Software,High
